name,latitude,longitude
Valea Crişulu,45.91667,25.78333
Ghioca,44.31667,24.73333
Zvorsca,43.99179,24.17719
Zvoriştea,47.83333,26.28333
Zvorănești,47.21312,26.56837
Zuvelcați,44.47017,24.7627
Zurbaua,44.48966,25.91405
Zugreni,47.4,25.51667
Zorzila,44.93499,22.99592
Zorlencior,45.47586,22.00986
Zorlești,45.09136,23.72013
Zorlenţu Mare,45.45056,21.95611
Zorleni,46.26667,27.71667
Zorleasca,44.4198,24.46036
Zorile,44.68333,24.85
Zorile,45.49354,22.06317
Zorile,44.37864,25.80678
Zorile,44.0754,27.93488
Zorești,45.18177,26.70291
Zorenii de Vale,46.78805,24.07556
Zoreni,46.89661,24.27573
Zorani,45.8722,22.27902
Zonţ,46.86667,24.48333
Zoltan,45.91763,25.85207
Zolt,45.75612,22.25693
Zoițani,48.05654,26.96621
Zoina,45.05701,22.45389
Zoicaru,44.45,26.45
Zmogotin,45.09673,22.47065
Zmeurătu,45.15,24.18333
Zmeu,47.19161,27.17917
Zloteşti,44.35,25.18333
Zlodica,47.36754,26.93667
Zlătunoaia Mică,47.65,26.98333
Zlătunoaia,47.65026,27.00743
Zlatna,46.10633,23.23162
Zlatița,44.86495,21.46917
Zlătari,46.50686,27.11742
Zlătari,44.45722,23.75078
Zlătărei,44.63057,24.25788
Zlătăreasa,46.36667,27.23333
Zlata,43.87502,25.02355
Zlaşti,45.73333,22.86667
Zlăşteni,44.98333,23.25
Zlapia,44.83333,24.66667
Zlagna,46.03258,24.47253
Zlagna,45.37799,22.30049
Zizincuţa,46.56667,27.75
Zizinca,46.5448,27.74754
Zizin,45.63697,25.77898
Zârne,46.65,22.16667
Snide,46.4496,22.78987
Zinca,44.6,25.4
Zimți,46.75979,25.04912
Zimnicele,43.66126,25.41291
Zimnicea,43.66667,25.36667
Zimbru,46.33602,22.38904
Zimbru,46.0561,27.76754
Zimbru,44.31819,26.93585
Zâmbreasca,44.31667,24.98333
Zimbor,47.0,23.26667
Zimandu Nou,46.28333,21.4
Zimandcuz,46.25644,21.3818
Zilișteanca,45.24955,26.87032
Zigoneni,45.09156,24.68016
Zidurile,44.58176,25.55458
Zidurile,44.57845,25.16828
Ziduri,45.3,27.08333
Zidarii,45.4,27.03333
Zidari,44.26667,24.53333
Zgura Băiţa,46.46667,22.58333
Zgura,46.56847,27.93972
Zgubea,44.9213,23.90815
Zgripcești,44.93815,25.07691
Zgribești,45.53288,22.0259
Zgaboeşti,45.08333,24.78333
Zetea,46.38333,25.36667
Zervești,45.40679,22.29238
Zerindu Mic,46.63062,21.638
Zerind,46.61667,21.51667
Zencani,46.927,25.33411
Zemeş,46.58333,26.41667
Zeletinu de Jos,46.2,27.38333
Zeletin,45.26133,26.22829
Zăicoiu,44.74386,23.74582
Zeicani,45.50199,22.72843
Zegujani,44.80854,22.91523
Zegaia,44.63312,22.83378
Zece Prăjini,46.93943,27.18322
Zece Hotare,46.89386,22.48349
Zebil,44.946,28.76873
Zdrapți,46.15612,22.86954
Zborişte,46.98333,22.6
Zboiu,44.12687,26.30929
Zberoaia,46.92709,28.04124
Zbereşti,46.76667,26.65
Zbereni,47.38016,26.8414
Zbegu,45.09258,22.41235
Zăvoiu,46.82168,22.1968
Zăvoiu,44.66038,25.4035
Zăvoiu,44.56667,24.66667
Zăvoi,46.41667,26.43333
Zăvoi,45.51884,22.98161
Zăvoi,45.51667,22.41667
Zăvoi,44.859,24.89477
Zăvoieni,44.77634,24.02219
Zăvoaia,45.03333,25.9
Zăvoaia,44.95,27.48333
Zăvideni,44.75358,24.24421
Zăvelceşti,44.96667,23.71667
Zăval,43.84717,23.84208
Zau de Câmpie,46.61382,24.1308
Bărboși,46.58333,24.18333
Zăuan-Băi,47.25,22.65
Zăuan,47.22495,22.66328
Zătrenii de Sus,44.76667,24.85
Zătreni-Biserica,44.76667,23.85
Zătreni,44.76667,23.85
Zătreana,44.86667,23.21667
Zatna,44.85,27.96667
Zăsloane,44.70892,21.82885
Jaroștea,44.78683,24.10618
Zărneștii de Slănic,45.27708,26.75549
Zărnești,46.01801,27.85412
Zărnești,45.56093,25.31787
Zărneşti,45.3,26.86667
Zărnești,45.0203,24.77077
Zărnești,44.89863,24.01485
Zărneni,44.62949,24.2313
Zărieș,46.18376,23.70711
Zarica,47.81667,24.43333
Zărand,46.4,21.65
Zărăfoaia,45.05,25.43333
Zăpodie,46.88333,24.25
Zăpodia,46.64594,27.07407
Zăpodia,46.5645,27.31361
Zăpodea,46.55,24.13333
Zăpodia,45.36969,26.52068
Zăpodeni,46.75,27.65
Zăpodea,46.89864,25.35841
Zăpode,47.23333,23.88333
Zăplazi,45.40283,26.97396
Zânzești,46.53335,22.95707
Zănou,44.73476,21.83741
Zănogi,45.09047,22.46675
Zănoaga,44.86697,26.16375
Zănoaga,44.15511,24.09832
Zănoaga,44.10386,24.61097
Zăneşti,46.81667,26.55
Zamostea,47.86667,26.2
Zamora,45.41667,25.53333
Zamfireşti,45.18333,27.21667
Zamfirești,45.19336,27.21095
Zamfirești,45.19197,24.50684
Zamfirești,44.98249,24.65438
Zamfira,45.06827,26.00835
Zâmbroaia,45.19896,26.12755
Zam,46.83333,23.0
Zam,46.0,22.45
Zalnoc,47.36745,22.68663
Zalhanaua,44.90238,25.83105
Zalha,47.18333,23.53333
Zalău,47.2,23.05
Zălan,45.95996,25.8174
Zăicești,47.69004,26.72499
Zahoreni,47.96164,27.05021
Zahareşti,45.03333,24.88333
Zaharești,47.59097,26.15234
Zaharești,45.29794,26.37583
Zahanaua,44.86823,25.93317
Zahana,44.31667,23.73333
Zăgujeni,45.48204,22.16286
Zăgriș,46.22723,23.54159
Zagra,47.33333,24.28333
Zagon,45.76667,26.11667
Zagavia,47.41911,26.8979
Zagăr,46.35,24.61667
Zăgancea,45.75,27.81667
Zădăriciu,44.47259,25.58263
Zădăreni,46.13274,21.21821
Zăbrăuţii,45.95,27.1
Zăbrătău,45.61624,26.13133
Zăbrani,46.06667,21.55
Zaboloteni,47.47592,27.4978
Zăbalț,46.00818,21.9224
Zăbala,45.9,26.18333
Vuvuru,45.06667,23.6
Vutcani,46.46667,27.96667
Vurpăr,46.0,23.46667
Vurpăr,45.9,24.35
Vulturu,45.61667,27.41667
Vulturu de Jos,45.6,27.43333
Vulturu,45.1748,29.06994
Vulturu,44.65,28.26667
Vulturi,47.24854,27.53807
Vultureştii de Sus,45.08333,25.1
Vultureştii de Jos,45.08333,25.08333
Vultureşti,47.51667,26.45
Vultureşti,46.81667,27.53333
Vulturești,45.06618,25.08347
Vultureşti,44.73333,24.31667
Vultureni,47.85378,26.71267
Vultureni,46.96667,23.56667
Vultureni,46.36667,27.28333
Vultureni,45.66667,27.53333
Vultureni,44.94008,27.3648
Vultureanca,44.60299,25.24253
Vâltori,46.4038,22.93945
Vulpueşti,45.2,24.23333
Vulpuești,45.06519,24.22685
Vulpești,44.79373,24.34265
Vulpeşti,44.68333,25.95
Vulpești,44.5975,24.94193
Vulpeni,44.46667,23.91667
Vulpășești,46.97011,27.06044
Vulpășeni,46.36227,27.67449
Vuliva,47.91667,25.85
Vuleru,46.15,23.88333
Vulcez,45.9,22.8
Vulcăneasa,46.36667,22.91667
Vulcăneasa,45.77388,26.90981
Vulcana-Pandele,45.01558,25.39319
Vulcana de Sus,45.10125,25.35826
Vulcana Băi,45.07982,25.38219
